State,range,rate,number,Year
SC,13.6 to 16.0,14.4,701,2014
ME,16.1 to 18.5,16.8,216,2014
WA,11.1 to 13.5,13.3,979,2014
ID,13.6 to 16.0,13.7,212,2014
AK,16.1 to 18.5,16.8,124,2014
MT,11.1 to 13.5,12.4,125,2014
NJ,13.6 to 16.0,14,"1,253",2014
MD,16.1 to 18.5,17.4,"1,070",2014
DC,13.6 to 16.0,14.2,96,2014
WI,13.6 to 16.0,15.1,853,2014
VT,13.6 to 16.0,13.9,83,2014
NH,21.0 to 35.5,26.2,334,2014
CO,16.1 to 18.5,16.3,899,2014
MI,16.1 to 18.5,18,"1,762",2014
CT,16.1 to 18.5,17.6,623,2014
MA,18.6 to 21.0,19,"1,289",2014
IN,16.1 to 18.5,18.2,"1,172",2014
WY,18.6 to 21.0,19.4,109,2014
MO,16.1 to 18.5,18.2,"1,067",2014
LA,16.1 to 18.5,16.9,777,2014
TN,18.6 to 21.0,19.5,"1,269",2014
AZ,16.1 to 18.5,18.2,"1,211",2014
DE,18.6 to 21.0,20.9,189,2014
PA,21.0 to 35.5,21.9,"2,732",2014
OK,18.6 to 21.0,20.3,777,2014
OH,21.0 to 35.5,24.6,"2,744",2014
NV,16.1 to 18.5,18.4,545,2014
UT,21.0 to 35.5,22.4,603,2014
RI,21.0 to 35.5,23.4,247,2014
NM,21.0 to 35.5,27.3,547,2014
KY,21.0 to 35.5,24.7,"1,077",2014
WV,21.0 to 35.5,35.5,627,2014
ND,2.8 to 11.0,2.8,20,2013
NE,2.8 to 11.0,6.5,117,2013
SD,2.8 to 11.0,6.9,55,2013
IA,2.8 to 11.0,9.3,275,2013
TX,2.8 to 11.0,9.3,"2,446",2013
MN,2.8 to 11.0,9.6,523,2013
VA,2.8 to 11.0,10.2,854,2013
MS,2.8 to 11.0,10.8,316,2013
GA,2.8 to 11.0,10.8,"1,098",2013
HI,2.8 to 11.0,11,158,2013
CA,11.1 to 13.5,11.1,"4,452",2013
AR,11.1 to 13.5,11.1,319,2013
NY,11.1 to 13.5,11.3,"2,309",2013
OR,11.1 to 13.5,11.3,455,2013
KS,11.1 to 13.5,12,331,2013
IL,11.1 to 13.5,12.1,"1,579",2013
FL,11.1 to 13.5,12.6,"2,474",2013
AL,11.1 to 13.5,12.7,598,2013
NC,11.1 to 13.5,12.9,"1,259",2013
SC,11.1 to 13.5,13,620,2013
ME,11.1 to 13.5,13.2,174,2013
WA,11.1 to 13.5,13.4,969,2013
ID,11.1 to 13.5,13.4,207,2013
AK,13.6 to 16.0,14.4,105,2013
MT,13.6 to 16.0,14.5,137,2013
NJ,13.6 to 16.0,14.5,"1,294",2013
MD,13.6 to 16.0,14.6,892,2013
DC,13.6 to 16.0,15,102,2013
