,state,opdDeath,AllOverdoseDeath,OpdDeath%,year,Oxy&Hydocodone,fenty&Tramadol,Methadone,Heroin,White,Black,Hispanic,Race_Total,Male,Female,GenderTotal,0-24,25-34,35-44,45-54,55+,AgeTotal
316,Arkansas,169,401,0.42,2016,114,38,32,13,159,0,0,159,91,78,169,13,36,43,40,37,169
317,California,2012,4654,0.43,2016,955,355,281,587,1397,137,372,1906,1368,644,2012,212,412,331,389,668,2012
318,Colorado,536,942,0.57,2016,212,72,58,234,408,11,105,524,340,196,536,67,143,123,103,100,536
319,Connecticut,855,971,0.88,2016,206,500,72,450,677,54,111,842,626,229,855,60,225,195,218,157,855
320,Delaware,154,282,0.55,2016,31,79,11,56,135,17,0,152,105,49,154,13,54,30,37,20,154
321,District of Columbia,209,269,0.78,2016,52,129,21,122,21,177,0,198,155,54,205,0,17,22,61,105,209
322,Florida,2798,4728,0.59,2016,1030,1566,203,669,2216,147,407,2770,1934,864,2797,246,815,716,541,479,2798
323,Georgia,918,1394,0.66,2016,455,277,115,226,783,109,18,910,557,361,918,80,243,195,207,193,918
324,Hawaii,77,191,0.4,2016,44,0,15,20,38,0,0,38,50,27,77,12,10,15,10,30,77
325,Idaho,119,243,0.49,2016,64,20,15,25,110,0,0,110,81,38,119,10,29,29,24,27,119
326,Illinois,1947,2411,0.81,2016,378,907,123,1040,1230,438,204,1872,1405,542,1947,183,511,462,442,349,1947
327,Indiana,794,1526,0.52,2016,231,304,34,297,706,69,15,790,522,272,794,69,257,186,168,114,794
328,Iowa,183,314,0.58,2016,82,58,13,47,163,10,0,173,121,62,183,24,43,39,47,30,183
329,Kansas,146,313,0.47,2016,83,27,10,32,133,0,0,133,82,64,146,14,29,32,29,42,146
330,Kentucky,989,1419,0.7,2016,403,465,48,311,918,58,12,988,632,357,989,76,219,307,243,144,989
331,Louisiana,346,996,0.35,2016,111,89,16,149,264,64,14,342,220,126,346,35,89,92,75,55,346
332,Maine,301,353,0.85,2016,132,199,37,55,289,0,0,289,209,92,301,25,88,84,69,35,301
333,Maryland,1821,2044,0.89,2016,666,1091,197,650,1189,560,47,1796,1315,506,1821,141,463,374,480,363,1821
334,Massachusetts,1990,2227,0.89,2016,267,1550,95,630,1643,82,214,1939,1451,539,1990,165,629,498,412,286,1990
335,Michigan,1762,2347,0.75,2016,560,921,149,727,1376,269,80,1725,1191,571,1762,153,495,407,381,326,1762
336,Minnesota,396,672,0.59,2016,137,99,67,149,310,43,0,353,275,121,396,61,110,87,78,60,396
337,Mississippi,180,352,0.51,2016,97,45,0,33,157,19,0,176,108,72,180,13,44,40,41,42,180
338,Missouri,914,1371,0.67,2016,231,441,41,380,698,194,13,905,609,305,914,116,266,227,171,134,914
339,Montana,42,119,0.35,2016,12,14,0,0,37,0,0,37,26,16,23,0,12,0,0,11,42
340,Nebraska,44,120,0.37,2016,22,13,0,0,37,0,0,37,31,13,36,0,16,10,0,10,44
341,Nevada,408,665,0.61,2016,235,53,53,86,339,31,27,397,225,183,408,39,74,71,98,126,408
342,New Hampshire,437,481,0.91,2016,69,363,29,34,416,0,11,427,317,120,437,55,151,107,79,45,437
343,New Jersey,1409,2056,0.69,2016,346,689,84,850,1017,193,180,1390,1034,375,1409,157,429,292,328,203,1409
344,New Mexico,349,500,0.7,2016,153,78,41,161,120,0,205,325,219,130,349,38,91,77,67,76,349
345,New York,3009,3638,0.83,2016,892,1641,289,1307,2110,338,473,2921,2191,818,3007,319,863,622,665,538,3009
346,North Carolina,1506,1956,0.77,2016,611,601,118,544,1313,132,31,1476,926,580,1505,151,451,375,319,209,1506
347,North Dakota,54,77,0.7,2016,17,15,0,12,44,0,0,44,35,19,37,0,13,13,11,0,54
348,Ohio,3613,4329,0.83,2016,785,2296,96,1478,3217,322,63,3602,2468,1145,3613,320,1073,915,750,555,3613
349,Oklahoma,444,813,0.55,2016,285,98,46,53,356,23,11,390,230,214,444,31,88,106,100,119,444
350,Oregon,312,506,0.62,2016,128,43,46,114,276,0,20,296,192,120,312,38,66,66,67,75,312
351,Pennsylvania,2235,4627,0.48,2016,634,1309,113,926,1989,152,60,2201,1585,650,2235,245,752,511,427,300,2235
352,Rhode Island,279,326,0.86,2016,89,182,29,25,248,0,22,270,197,82,279,22,77,55,78,47,279
353,South Carolina,628,879,0.71,2016,342,237,56,115,581,41,0,622,393,235,628,58,139,153,159,119,628
354,South Dakota,42,69,0.61,2016,25,10,0,0,39,0,0,39,23,19,24,0,14,0,0,10,42
355,Tennessee,1186,1630,0.73,2016,679,395,83,260,1045,111,20,1176,686,500,1186,88,288,279,297,234,1186
356,Texas,1375,2831,0.49,2016,501,250,139,530,920,101,329,1350,876,499,1375,198,330,259,286,302,1375
357,Utah,466,635,0.73,2016,322,72,40,166,423,0,30,453,284,182,466,41,120,130,91,84,466
358,Vermont,101,125,0.81,2016,23,53,13,45,98,0,0,98,67,34,97,0,33,30,22,12,101
359,Virginia,1130,1405,0.8,2016,343,648,77,450,886,188,31,1105,761,369,1130,119,341,273,225,172,1130
360,Washington,709,1102,0.64,2016,292,93,122,283,575,32,44,651,429,280,709,61,153,143,149,203,709
361,West Virginia,733,884,0.83,2016,322,435,27,235,694,34,0,728,501,232,733,47,181,218,176,111,733
362,Wisconsin,866,1074,0.81,2016,328,288,67,389,720,82,47,849,553,313,866,101,237,212,168,148,866
363,Wyoming,50,99,0.51,2016,26,0,0,0,46,0,0,46,23,27,26,0,0,13,0,13,50
